RunDate,Service Provider,ConsentID or Water Group,Activity Number,Meters,Type,Limit,Max Use,Percent Over Limit,Date of Highest Overage,Date of Earliest Non-compliance,Date of Latest Non-compliance
19-Jan-2019,,CRC150615,CRC150615-1,K37/2182-M1 + K37/2572-M1,Take Rate,31.0 l/s,73.3 l/s,136.60%,13/01/2019 11:30,11/01/2019 0:00,18/01/2019 0:00
19-Jan-2019,,CRC150615,CRC150615-1,K37/2182-M1 + K37/2572-M1,5 day Volume,13382.1 m3,19575.4 m3,46.30%,13/01/2019 0:00,12/01/2019 0:00,18/01/2019 0:00
19-Jan-2019,WaterCheck,CRC146770,CRC146770-1,M35/3000-M1 + M35/6234-M1 + M35/6706-M1,Take Rate,74.0 l/s,83.7 l/s,13.10%,12/01/2019 21:45,12/01/2019 14:00,12/01/2019 22:15
19-Jan-2019,Boraman,CRC144906,CRC144906-1,K38/0481-M1 + K38/0482-M1 + K38/0482-M2,Take Rate,67.8 l/s,86.8 l/s,28.00%,14/01/2019 13:30,11/01/2019 0:00,17/01/2019 23:15
19-Jan-2019,Boraman,CRC144906,CRC144906-2,K38/0734-M1 + K38/0734-M2,Take Rate,41.0 l/s,41.5 l/s,1.30%,11/01/2019 18:00,11/01/2019 17:00,11/01/2019 21:00
19-Jan-2019,Boraman,CRC144906,CRC144906-2,K38/0734-M1 + K38/0734-M2,7 day Volume,18998.0 m3,22473.0 m3,18.30%,14/01/2019 0:00,12/01/2019 0:00,18/01/2019 0:00
19-Jan-2019,,CRC131607,CRC131607-1,K38/0650-M1 + K38/0681-M1 + K38/0711-M1 + K38/1548-M1,Take Rate,110.2 l/s,118.9 l/s,7.90%,17/01/2019 11:30,15/01/2019 14:15,18/01/2019 3:15
19-Jan-2019,WaterCheck,CRC111076.2,CRC111076.2-1,M36/20625-M1 + M36/7760-M1,Take Rate,65.0 l/s,73.2 l/s,12.60%,16/01/2019 15:15,11/01/2019 14:30,16/01/2019 15:45
19-Jan-2019,Boraman,CRC092067.1,CRC092067.1-1,I37/0058-M1,Water Year Volume,28800.0 m3,311474.0 m3,981.50%,18/01/2019 2:00,11/01/2019 0:00,18/01/2019 2:00
19-Jan-2019,WaterCheck,CRC082932,CRC082932-1,M35/11078-M1 + M35/7539-M1 + M35/7540-M1,Take Rate,89.1 l/s,656.7 l/s,637.00%,16/01/2019 10:45,11/01/2019 7:30,16/01/2019 18:30
19-Jan-2019,Prosol,CRC060099.2,CRC060099.2-1,J37/0233-M1 + J37/0239-M1 + J37/0239-M2 + J37/0239-M3 + J37/0239-M4,Take Rate - Low Flow Ban,0 l/s,189.4 l/s,-,17/01/2019 7:30,11/01/2019 0:00,18/01/2019 4:30
19-Jan-2019,DataCol,CRC041319,CRC041319-1,K36/0601-M1,1 day Volume,4675.0 m3,4709.0 m3,0.70%,16/01/2019 0:00,16/01/2019 0:00,18/01/2019 0:00
19-Jan-2019,Boraman,CRC040527,CRC040527-1,J38/0621-M1,Take Rate - Low Flow Ban,0 l/s,0.4 l/s,-,13/01/2019 22:15,13/01/2019 21:15,14/01/2019 5:15
19-Jan-2019,Boraman,CRC040201.1,CRC040201.1-1,N34/0304-M1,Take Rate,20.0 l/s,8937.6 l/s,44588.00%,17/01/2019 2:00,11/01/2019 9:45,18/01/2019 0:00
19-Jan-2019,Boraman,CRC040201.1,CRC040201.1-1,N34/0304-M1,1 day Volume,1120.0 m3,287417.2 m3,25562.20%,18/01/2019 0:00,12/01/2019 0:00,18/01/2019 0:00
19-Jan-2019,Boraman,CRC012163,CRC012163-1,J38/0505-M1 + J38/0505-M2,Take Rate,16.5 l/s,28.8 l/s,74.20%,11/01/2019 0:00,11/01/2019 0:00,18/01/2019 2:45
19-Jan-2019,Boraman,CRC012163,CRC012163-1,J38/0505-M1 + J38/0505-M2,1 day Volume,1325.0 m3,2439.0 m3,84.10%,14/01/2019 0:00,12/01/2019 0:00,18/01/2019 0:00
19-Jan-2019,Watermetrics,CRC010344.3,CRC010344.3-1,M36/6036-M1,Take Rate,34.6 l/s,38.9 l/s,12.40%,11/01/2019 20:15,11/01/2019 0:00,18/01/2019 0:00
19-Jan-2019,Watermetrics,CRC010344.3,CRC010344.3-1,M36/6036-M1,1 day Volume,2989.0 m3,3282.0 m3,9.80%,12/01/2019 0:00,12/01/2019 0:00,12/01/2019 0:00
19-Jan-2019,Boraman,CRC991009B,CRC991009B-1,K38/0777-M1,Take Rate,53.0 l/s,56.9 l/s,7.40%,11/01/2019 10:00,11/01/2019 8:30,14/01/2019 1:15
19-Jan-2019,Boraman,CRC991009B,CRC991009B-1,K38/0777-M1,7 day Volume,1383.0 m3,30497.0 m3,2105.10%,17/01/2019 0:00,12/01/2019 0:00,18/01/2019 0:00
