ID,ConsentID or Water Group,IgnoreReasonID,Comment,CreatedBy,StartDate,EndDate
733,CRC050940.1,Complicated Allocation,Bulk Import 25/01/751,CH\KatieSi,25/01/2019,30/06/2019
734,CRC050944.3,Consents with Associated WAPS,Bulk Import 25/01/752,CH\KatieSi,25/01/2019,30/06/2019
735,CRC050957.1,Complicated Allocation,Bulk Import 25/01/753,CH\KatieSi,25/01/2019,30/06/2019
736,CRC050984,Under 5l/s,Bulk Import 25/01/754,CH\KatieSi,25/01/2019,30/06/2019
737,CRC051008,Complicated Allocation,Bulk Import 25/01/755,CH\KatieSi,25/01/2019,30/06/2019
738,CRC051053,Under 5l/s,Bulk Import 25/01/756,CH\KatieSi,25/01/2019,30/06/2019
739,CRC051108,Consents with Associated WAPS,Bulk Import 25/01/757,CH\KatieSi,25/01/2019,30/06/2019
740,CRC051156,Under 5l/s,Bulk Import 25/01/758,CH\KatieSi,25/01/2019,30/06/2019
741,CRC051157,Consents with Associated WAPS,Bulk Import 25/01/759,CH\KatieSi,25/01/2019,30/06/2019
742,CRC051179,Consents with Associated WAPS,Bulk Import 25/01/760,CH\KatieSi,25/01/2019,30/06/2019
743,CRC051234.1,Associated Permits Assumed,Bulk Import 25/01/761,CH\KatieSi,25/01/2019,30/06/2019
744,CRC051235,Under 5l/s,Bulk Import 25/01/762,CH\KatieSi,25/01/2019,30/06/2019
745,CRC051262.1,Regionally Significant,Bulk Import 25/01/763,CH\KatieSi,25/01/2019,30/06/2019
746,CRC051278,Complicated Allocation,Bulk Import 25/01/764,CH\KatieSi,25/01/2019,30/06/2019
747,CRC051304.1,Associated Permits Assumed,Bulk Import 25/01/765,CH\KatieSi,25/01/2019,30/06/2019
748,CRC051306.2,Consents with Associated WAPS,Bulk Import 25/01/766,CH\KatieSi,25/01/2019,30/06/2019
749,CRC051312,Consents with Associated WAPS,Bulk Import 25/01/767,CH\KatieSi,25/01/2019,30/06/2019
750,CRC051369,Under 5l/s,Bulk Import 25/01/768,CH\KatieSi,25/01/2019,30/06/2019
751,CRC051381,Consents with Associated WAPS,Bulk Import 25/01/769,CH\KatieSi,25/01/2019,30/06/2019
752,CRC051397,Associated Permits Assumed,Bulk Import 25/01/770,CH\KatieSi,25/01/2019,30/06/2019
753,CRC051400.2,Regionally Significant,Bulk Import 25/01/771,CH\KatieSi,25/01/2019,30/06/2019
754,CRC051418,Consents with Associated WAPS,Bulk Import 25/01/772,CH\KatieSi,25/01/2019,30/06/2019
755,CRC051574,Associated Permits Confirmed,Bulk Import 25/01/773,CH\KatieSi,25/01/2019,30/06/2019
756,CRC051603,Complicated Allocation,Bulk Import 25/01/774,CH\KatieSi,25/01/2019,30/06/2019
757,CRC051661.1,Consents with Associated WAPS,Bulk Import 25/01/775,CH\KatieSi,25/01/2019,30/06/2019
758,CRC051666.2,Complicated Allocation,Bulk Import 25/01/776,CH\KatieSi,25/01/2019,30/06/2019
